network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,colony,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,group_period3,group_period4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
Network_98,Ant43,96,0.08330438753610278,0.001897101462680047,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,43.0,171.283,64.0,0.0,N,N,N,N,229.455,2.09091,4.63636,669.81818,168.54545,88.727273,9.545
Network_98,Ant501,76,0.0671386334734385,0.0005634807594306172,68,141,6731,0.6819655521783181,0.27677337351008513,21.0,501.0,170.135,14.0,0.0,N,N,N, ,284.36400000000003,2.0,2.81818,487.45455,142.45455,58.0,14.09
Network_98,Ant599,89,0.07803780142924058,0.0012333117962906608,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,599.0,166.50799999999998,5.0,0.0,N,N,N, ,321.909,3.27273,1.45455,610.18182,118.18182,51.636364,7.909
Network_98,Ant38,91,0.0762626147451228,0.002277474116701639,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,38.0,125.495,50.0,12.0,F,F, , ,2.27273,20.0909,0.0,28.363636,97.090909,389.63636,0.3636
Network_98,Ant638,80,0.06604459623732253,0.0014286762819657724,65,141,6731,0.6819655521783181,0.27677337351008513,21.0,638.0,122.48299999999999,64.0,150.0,F,F, , ,5.90909,45.7273,0.0909091,26.272727000000003,88.545455,454.54545,0.3636
Network_98,Ant32,82,0.07322493397992326,0.0011183661297574441,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,32.0,147.98,57.0,0.0,F,F, , ,8.909089999999999,0.181818,0.0,57.363636,146.27273,184.36364,0.09091
Network_98,Ant30,106,0.09197138911949845,0.002430348273364793,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,30.0,224.722,50.0,0.0,N,N,N,N,103.0,0.181818,0.181818,349.81818,190.81818,90.727273,6.455
Network_98,Ant632,114,0.09542774886757838,0.005353513209099072,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,632.0,149.466,162.0,318.0,F,F, , ,5.18182,38.2727,1.81818,28.545455,99.636364,427.90909000000005,0.2727
Network_98,Ant534,111,0.09705795018761951,0.0027444963303698998,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,534.0,145.726,57.0,0.0,C,C, , ,6.636360000000001,0.181818,0.181818,95.181818,191.09091,251.0,0.8182
Network_98,Ant538,107,0.0908317432676858,0.003646713759965982,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,538.0,136.704,57.0,5.0,F,F, , ,7.45455,3.0,0.545455,96.636364,242.45455,492.09090999999995,0.6364
Network_98,Ant109,119,0.10360656742204415,0.0031307098517624247,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,109.0,158.256,64.0,0.0,C,C,F,F,171.81799999999998,2.90909,1.09091,243.54545,261.18182,196.54545,7.0
Network_98,Ant238,66,0.053255026082387275,0.0008316657521389947,60,141,6731,0.6819655521783181,0.27677337351008513,21.0,238.0,126.65700000000001,57.0,78.0,F,F,F, ,3.90909,38.1818,0.818182,34.181818,99.818182,414.18182,0.0
Network_98,Ant342,112,0.0950138531235771,0.004556112527543661,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,342.0,158.90200000000002,148.0,20.0,F,F,F,F,13.0,30.6364,0.272727,90.454545,249.54545,836.90909,0.8182
Network_98,Ant105,112,0.0968357802865674,0.0028611619107876086,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,105.0,169.614,64.0,0.0,N,N,N,N,417.0,2.45455,0.727273,628.72727,190.90909,98.545455,23.73
Network_98,Ant102,55,0.045706924970232,0.0004405616116088091,54,141,6731,0.6819655521783181,0.27677337351008513,21.0,102.0,158.114,5.0,29.0,F,F,F,C,0.363636,61.2727,0.0909091,15.090909,42.545455,273.0,0.0
